上海频道,#genre#
都市剧场,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.149:8882
欢笑剧场,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.146:8864
生活时尚,http://wouu.net:9977/udp/239.93.42.29:5140
生活时尚,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.141:8834
纪实人文,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.165:8978
生活时尚,http://wouu.net:9977/udp/239.93.0.106:5140
东方影视,http://101.81.119.90:8888/udp/239.45.3.237:5140
动漫秀场,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.148:8876
哈哈炫动,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.70:8414
东方财经,http://101.81.119.90:8888/udp/239.45.1.119:5140
生活时尚,http://101.81.119.90:8888/udp/239.45.3.132:5140
新闻综合,http://101.81.119.90:8888/udp/239.45.3.209:5140
纪实人文,http://101.81.119.90:8888/udp/239.45.3.212:5140
动漫秀场,http://101.81.119.90:8888/udp/239.45.3.134:5140
法治天地,http://101.81.119.90:8888/udp/239.45.1.46:5140
哈哈炫动,http://110.177.146.171:888/udp/239.1.1.64:8064
都市剧场,http://110.177.146.171:888/udp/239.1.1.81:8081
七彩戏剧,http://101.81.119.90:8888/udp/239.45.3.61:5140
第一财经,http://101.81.119.90:8888/udp/239.45.3.211:5140
哈哈炫动,http://101.81.119.90:8888/udp/239.45.1.55:5140
动漫秀场,http://110.177.146.171:888/udp/239.1.1.80:8080
纪实人文,http://wouu.net:9977/udp/239.93.1.154:5140
欢笑剧场,http://101.81.119.90:8888/udp/239.45.3.196:5140
纪实人文,http://110.177.146.171:888/udp/239.1.1.45:8045
上海纪实,http://wouu.net:9977/udp/239.93.1.137:5140
东方财经,http://wouu.net:9977/udp/239.93.1.165:5140
上视外语,http://101.81.119.90:8888/udp/239.45.1.127:5140
纪实人文,http://121.24.98.154:8090/hls/108/index.m3u8
都市剧场,http://wouu.net:9977/udp/239.93.42.30:5140
生活时尚,http://110.177.146.171:888/udp/239.1.1.76:8076
东方财经,http://110.177.146.171:888/udp/239.1.1.85:8085
法治天地,http://110.177.146.171:888/udp/239.1.1.79:8079
都市剧场,http://101.81.119.90:8888/udp/239.45.3.136:5140
全纪实,http://101.81.119.90:8888/udp/239.45.3.135:5140
哈哈炫动,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
欢笑剧场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000002000009455/1.m3u8
欢笑剧场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000002000009455/1.m3u8
动漫秀场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031113/1.m3u8
都市剧场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031111/1.m3u8
都市剧场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031111/1.m3u8
法治天地,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.75:8444
纪实人文,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
上海纪实人文,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
动漫秀场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031113/1.m3u8
全纪实,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031112/1.m3u8
哈哈炫动,http://60.12.183.46:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
东方财经,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.76:8450
欢笑剧场,http://1b6467f415.iok.la:9931/tsfile/live/1106_1.m3u8
哈哈炫动,http://iptvcyp.top:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
法治天地,http://171.107.72.105:4000/udp/239.81.0.79:4056
全纪实,http://171.107.72.105:4000/udp/239.81.0.78:4056
生活时尚,http://171.107.72.105:4000/udp/239.81.0.75:4056
七彩戏剧,http://171.107.72.105:4000/udp/239.81.0.70:4056
都市剧场,http://171.107.72.105:4000/udp/239.81.0.81:4056
动漫秀场,http://171.107.72.105:4000/udp/239.81.0.68:4056
东方财经,http://171.107.72.105:4000/udp/239.81.0.76:4056
