卫视频道,#genre#
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
云南卫视,http://iptvcyp.top:9901/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://iptvcyp.top:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://iptvcyp.top:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://www.furymax.top:85/rtp/239.254.96.141:8920
湖南卫视,http://www.furymax.top:85/rtp/239.254.96.139:8908
黑龙江卫视,http://iptvcyp.top:9901/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://www.furymax.top:85/rtp/239.69.1.71:10066
天津卫视,http://www.furymax.top:85/rtp/239.69.1.68:10048
江西卫视,http://www.furymax.top:85/rtp/239.69.1.126:10394
江苏卫视,http://www.furymax.top:85/rtp/239.254.96.144:8938
深圳卫视,http://iptvcyp.top:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://www.furymax.top:85/rtp/239.69.1.70:10060
吉林卫视,http://www.furymax.top:85/rtp/239.69.1.212:10914
海南卫视,http://www.furymax.top:85/rtp/239.69.1.151:10542
山东卫视,http://www.furymax.top:85/rtp/239.69.1.69:10054
东方卫视,http://www.furymax.top:85/rtp/239.69.1.173:10674
兵团卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.228:9356
吉林卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.223:9326
湖北卫视,http://www.furymax.top:85/rtp/239.254.96.115:8664
湖南卫视,http://iptvcyp.top:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://101.81.119.90:8888/udp/239.45.1.229:5140
云南卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.61:8360
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
贵州卫视,http://114.230.190.227:8600/rtp/239.49.8.174:6000
深圳卫视,http://www.furymax.top:85/rtp/239.254.96.137:8896
河南卫视,http://www.furymax.top:85/rtp/239.69.1.168:10644
江西卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.182:9080
河北卫视,http://183.141.216.56:9999/udp/233.50.200.105:5140
安徽卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.248:9476
北京卫视,http://101.81.119.90:8888/udp/239.45.3.229:5140
江苏卫视,http://183.141.216.56:9999/udp/233.50.200.144:5140
江西卫视,http://114.230.190.227:8600/rtp/239.49.8.185:6000
东方卫视,http://183.141.216.56:9999/udp/233.50.200.146:5140
广东卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.33:8192
宁夏卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.56:8330
安徽卫视,http://183.141.216.56:9999/udp/233.50.200.106:5140
江苏卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.30:8174
黑龙江卫视,http://www.furymax.top:85/rtp/239.254.96.138:8902
浙江卫视,http://www.furymax.top:85/rtp/239.254.96.143:8932
西藏卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.229:9362
广东卫视,http://www.furymax.top:85/rtp/239.254.96.140:8914
河南卫视,http://114.230.190.227:8600/rtp/239.49.8.197:6000
湖南卫视,http://60.12.183.46:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
三沙卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.3.10:9578
湖南卫视,http://114.230.190.227:8600/rtp/239.49.8.142:6000
上海卫视,http://110.177.146.171:888/udp/239.1.1.31:8031
浙江卫视,http://114.230.190.227:8600/rtp/239.49.8.139:6000
江西卫视,http://101.81.119.90:8888/udp/239.45.1.122:5140
宁夏卫视,http://101.81.119.90:8888/udp/239.45.1.213:5140
天津卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.180:9068
东方卫视,http://60.12.183.46:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://114.230.190.227:8600/rtp/239.49.8.209:6000
河北卫视,http://114.230.190.227:8600/rtp/239.49.1.236:6000
东南卫视,http://114.230.190.227:8600/rtp/239.49.8.186:6000
重庆卫视,http://101.81.119.90:8888/udp/239.45.1.84:5140
北京卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.32:8186
东南卫视,http://183.141.216.56:9999/udp/233.50.201.146:5140
陕西卫视,http://110.177.146.171:888/udp/239.1.1.50:8050
江西卫视,http://60.12.183.46:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.3.46:9794
河南卫视,http://101.81.119.90:8888/udp/239.45.0.3:5140
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
广东卫视,http://183.141.216.56:9999/udp/233.50.200.149:5140
山西卫视,http://60.12.183.46:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://iptvcyp.top:9901/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://www.furymax.top:85/rtp/239.69.1.150:10536
河北卫视,http://wouu.net:9977/udp/239.93.0.132:5140
辽宁卫视,http://wouu.net:9977/udp/239.93.1.108:5140
黑龙江卫视,http://101.81.119.90:8888/udp/239.45.3.232:5140
四川卫视,http://www.furymax.top:85/rtp/239.69.1.169:10650
广西卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.48:8282
海南卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.42:8246
辽宁卫视,http://183.141.216.56:9999/udp/233.50.201.141:5140
广西卫视,http://114.230.190.227:8600/rtp/239.49.1.40:6000
辽宁卫视,http://60.12.183.46:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
青海卫视,http://114.230.190.227:8600/rtp/239.49.1.31:6000
湖南卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.31:8180
重庆卫视,http://183.141.216.56:9999/udp/233.50.201.143:5140
厦门卫视,http://wouu.net:9977/udp/239.93.42.57:5140
江苏卫视,http://114.230.190.227:8600/rtp/239.49.8.138:6000
北京卫视,http://114.230.190.227:8600/rtp/239.49.8.141:6000
云南卫视,http://101.81.119.90:8888/udp/239.45.0.4:5140
四川卫视,http://wouu.net:9977/udp/239.93.1.188:5140
黑龙江卫视,http://114.230.190.227:8600/rtp/239.49.1.50:6000
三沙卫视,http://110.177.146.171:888/udp/239.1.1.70:8070
新疆卫视,http://101.81.119.90:8888/udp/239.45.1.116:5140
浙江卫视,http://110.177.146.171:888/udp/239.1.1.38:8038
黑龙江卫视,http://110.177.146.171:888/udp/239.1.1.37:8037
新疆卫视,http://wouu.net:9977/udp/239.93.0.194:5140
宁夏卫视,http://114.230.190.227:8600/rtp/239.49.1.237:6000
东方卫视,http://www.furymax.top:85/rtp/239.254.96.142:8926
湖南卫视,http://183.141.216.56:9999/udp/233.50.200.190:5140
云南卫视,http://110.177.146.171:888/udp/239.1.1.54:8054
东方卫视,http://101.81.119.90:8888/udp/239.45.3.146:5140
青海卫视,http://114.230.190.227:8600/rtp/239.49.1.53:6000
安徽卫视,http://114.230.190.227:8600/rtp/239.49.8.204:6000
内蒙古卫视,http://101.81.119.90:8888/udp/239.45.1.238:5140
云南卫视,http://183.141.216.56:9999/udp/233.50.200.115:5140
康巴卫视,http://wouu.net:9977/udp/239.93.0.41:5140
河南卫视,http://wouu.net:9977/udp/239.93.42.45:5140
天津卫视,http://114.230.190.227:8600/rtp/239.49.1.46:6000
新疆卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.227:9350
东南卫视,http://wouu.net:9977/udp/239.93.0.42:5140
青海卫视,http://101.81.119.90:8888/udp/239.45.1.230:5140
安徽卫视,http://110.177.146.171:888/udp/239.1.1.44:8044
吉林卫视,http://101.81.119.90:8888/udp/239.45.0.6:5140
重庆卫视,http://183.141.216.56:9999/udp/233.50.200.114:5140
重庆卫视,http://114.230.190.227:8600/rtp/239.49.1.42:6000
江西卫视,http://wouu.net:9977/udp/239.93.0.134:5140
山东卫视,http://114.230.190.227:8600/rtp/239.49.8.146:6000
青海卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.60:8354
