港台频道,#genre#
凤凰资讯,http://wouu.net:9977/udp/239.93.1.4:2191
凤凰中文,http://183.141.216.56:9999/udp/233.50.200.42:5140
凤凰中文,http://wouu.net:9977/udp/239.93.0.162:2192
凤凰资讯,http://wouu.net:9977/udp/239.93.0.118:2191
凤凰香港,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰中文,http://wouu.net:9977/udp/239.93.1.9:2192
凤凰中文,http://122.224.232.226:8888/udp/233.50.200.191:5140
凤凰资讯,http://183.141.216.56:9999/udp/233.50.200.192:5140
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯,http://122.224.232.226:8888/udp/233.50.200.192:5140
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
台視新聞,http://50.7.234.10:8278/ttvnews_twn/playlist.m3u8?tid=MD9D1039476110394761&ct=19193&tsum=9f33349842788bfb7b0e90e93f7bf02c
凤凰资讯,http://171.38.77.200:8181/tsfile/live/1000_1.m3u8
凤凰中文,http://171.38.77.200:8181/tsfile/live/1001_1.m3u8
凤凰香港,http://171.38.77.200:8181/tsfile/live/1002_1.m3u8
凤凰香港,https://epg.pw/stream/b3ab43b2415df405226d5b25f38e51432ca7d32b5a240e0aa1f3e201d181442f.m3u8
无线翡翠台,http://1b6467f415.iok.la:9931/tsfile/live/1007_1.m3u8
