福建频道,#genre#
福建少儿,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.9:8048
厦门卫视,http://wouu.net:9977/udp/239.93.42.57:5140
福建经济,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.7:8036
福建综合,http://e1.woc.iiiya.cn:8888/rtp/239.61.3.4:9542
厦门卫视,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.11:8060
厦门卫视,http://110.177.146.171:888/udp/239.1.1.71:8071
福建综合,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.1:8000
厦门卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000266006/1.m3u8
福建新闻,http://e1.woc.iiiya.cn:8888/rtp/239.61.2.4:8018
厦门卫视,http://171.107.72.105:4000/udp/239.81.0.212:4056
厦门卫视,http://1b6467f415.iok.la:9931/tsfile/live/1093_1.m3u8
